feature,giorgio,nan
parameter,FS-P2-1 [mA],CE04_temp [\\°C]
series,3f695c37-aed7-4e7f-a642-1779dfb1eb87,4021c86d-6efe-4ca2-8fbc-0209c8ecfc59
timestamp,,
2022-06-23 09:57:35,,28.2
2022-06-23 10:57:35,,28.8
2022-06-23 11:57:35,,28.4
2022-06-23 12:57:35,,28.9
2022-06-23 13:57:35,,31.9
2022-06-23 14:57:35,,33.0
2022-06-23 15:57:35,,34.0
2022-06-23 16:57:35,,31.5
2022-06-23 17:57:35,,29.2
2022-06-23 18:57:35,,28.2
2022-06-23 19:57:35,,28.0
2022-06-23 20:57:35,,26.2
2022-06-23 21:57:35,,24.8
2022-06-23 22:57:35,,24.1
2022-06-23 23:57:35,,23.6
2022-06-24 00:57:35,,23.1
2022-06-24 01:57:35,,23.3
2022-06-24 02:57:36,,22.5
2022-06-24 03:57:35,,22.4
2022-06-24 04:57:35,,21.6
2022-06-24 05:57:35,,21.4
2022-06-24 06:57:35,,23.3
2022-06-24 07:57:35,,24.7
2022-06-24 08:57:35,,25.9
2022-06-24 09:57:35,,28.0
2022-06-24 10:57:35,,28.1
2022-06-24 11:57:35,,29.7
2022-06-24 12:57:35,,30.7
2022-06-24 13:57:35,,31.4
2022-06-24 14:57:35,,31.6
2022-06-24 15:57:35,,32.8
2022-06-24 16:57:35,,38.9
2022-06-24 17:57:35,,36.3
2022-06-24 18:57:35,,36.7
2022-06-24 19:57:35,,32.2
2022-06-24 20:57:35,,27.2
2022-06-24 21:57:35,,25.1
2022-06-24 22:57:35,,24.1
2022-06-24 23:57:35,,23.5
2022-06-25 00:57:35,,22.8
2022-06-25 01:57:35,,22.3
2022-06-25 02:57:35,,22.6
2022-06-25 03:57:35,,23.0
2022-06-25 04:57:35,,22.5
2022-06-25 05:57:35,,22.6
2022-06-25 06:57:35,,23.2
2022-06-25 07:57:35,,24.6
2022-06-25 08:57:35,,25.6
2022-06-25 09:57:35,,27.1
2022-06-25 10:57:35,,29.4
2022-06-25 11:57:35,,31.4
2022-06-25 12:57:35,,30.5
2022-06-25 13:57:35,,32.0
2022-06-25 14:57:35,,33.1
2022-06-25 15:57:35,,37.8
2022-06-25 16:57:35,,39.7
2022-06-25 17:57:35,,36.2
2022-06-25 18:57:35,,38.0
2022-06-25 19:57:35,,31.4
2022-06-25 20:57:35,,28.0
2022-06-25 21:57:35,,25.7
2022-06-25 22:57:35,,24.4
2022-06-25 23:57:35,,23.4
2022-06-26 00:57:35,,22.5
2022-06-26 01:57:35,,21.7
2022-06-26 02:57:35,,21.2
2022-06-26 03:57:35,,20.8
2022-06-26 04:57:35,,20.3
2022-06-26 05:57:35,,21.2
2022-06-26 06:57:35,,22.4
2022-06-26 07:57:35,,24.4
2022-06-26 08:57:35,,26.9
2022-06-26 09:57:35,,29.3
2022-06-26 10:57:35,,31.0
2022-06-26 11:57:35,,32.0
2022-06-26 12:57:35,,33.7
2022-06-26 13:57:35,,33.4
2022-06-26 14:57:35,,33.6
2022-06-26 15:57:35,,32.3
2022-06-26 16:57:35,,39.4
2022-06-26 17:57:35,,35.2
2022-06-26 18:57:35,,36.4
2022-06-26 19:57:35,,32.0
2022-06-26 20:57:35,,28.2
2022-06-26 21:57:35,,25.6
2022-06-26 22:57:35,,24.0
2022-06-26 23:57:35,,23.0
2022-06-27 00:57:35,,22.2
2022-06-27 01:57:35,,22.3
2022-06-27 02:57:35,,22.1
2022-06-27 03:57:35,,21.1
2022-06-27 04:57:35,,21.8
2022-06-27 05:57:35,,21.8
2022-06-27 06:57:35,,23.2
2022-06-27 07:57:35,,25.1
2022-06-27 08:57:35,,28.0
2022-06-27 09:57:35,,31.7
2022-06-27 10:57:35,,33.8
2022-06-27 11:57:35,,36.2
2022-06-27 12:57:35,,37.3
2022-06-27 13:57:35,,37.3
2022-06-27 14:57:35,,35.4
2022-06-27 15:57:35,,35.2
2022-06-27 16:57:35,,35.7
2022-06-27 17:57:35,,33.7
2022-06-27 18:57:35,,33.0
2022-06-27 19:57:35,,30.1
2022-06-27 20:57:35,,28.8
2022-06-27 21:57:35,,28.1
2022-06-27 22:57:35,,27.4
2022-06-27 23:57:35,,25.7
2022-06-28 00:57:35,,24.5
2022-06-28 01:57:35,,23.7
2022-06-28 02:57:35,,22.9
2022-06-28 03:57:35,,22.2
2022-06-28 04:57:35,,21.7
2022-06-28 05:57:35,,22.6
2022-06-28 06:57:35,,24.3
2022-06-28 07:57:35,,26.1
2022-06-28 08:57:35,,29.9
2022-06-28 09:57:35,,34.3
2022-06-28 10:57:35,,36.0
2022-06-28 11:57:35,,36.9
2022-06-28 12:57:35,,33.6
2022-06-28 13:57:35,,32.0
2022-06-28 14:57:35,,31.8
2022-06-28 15:57:35,,32.2
2022-06-28 16:57:35,,32.8
2022-06-28 17:57:35,,31.2
2022-06-28 18:57:35,,32.8
2022-06-28 19:57:35,,28.2
2022-06-28 20:57:35,,27.0
2022-06-28 21:57:35,,26.7
2022-06-28 22:57:35,,26.3
2022-06-28 23:57:35,,25.5
2022-06-29 00:57:35,,24.9
2022-06-29 01:57:35,,24.0
2022-06-29 02:57:35,,23.5
2022-06-29 03:57:35,,22.7
2022-06-29 04:57:35,,22.3
2022-06-29 05:57:35,,22.1
2022-06-29 06:57:35,,23.3
2022-06-29 07:57:35,,25.5
2022-06-29 08:57:35,,27.8
2022-06-29 09:57:35,,28.7
2022-06-29 10:57:35,,29.9
2022-06-29 11:57:35,,30.4
2022-06-29 12:57:35,,30.7
2022-06-29 13:57:35,,30.8
2022-06-29 14:57:35,,30.8
2022-06-29 15:57:35,,34.8
2022-06-29 16:57:35,,35.8
2022-06-29 17:57:35,,32.3
2022-06-29 18:57:35,,34.1
2022-06-29 19:57:35,,28.9
2022-06-29 20:57:35,,26.0
2022-06-29 21:57:35,,25.1
2022-06-29 22:57:35,,24.8
2022-06-29 23:57:35,,24.4
2022-06-30 00:57:35,,24.1
2022-06-30 01:57:35,,23.3
2022-06-30 02:57:35,,22.5
2022-06-30 03:57:35,,21.8
2022-06-30 04:57:35,,21.4
2022-06-30 05:57:35,,21.0
2022-06-30 06:57:35,,21.9
2022-06-30 07:57:35,,24.1
2022-06-30 08:57:35,,26.9
2022-06-30 09:57:35,,28.7
2022-06-30 10:57:35,,30.2
2022-06-30 11:57:35,,31.5
2022-06-30 12:57:35,,31.9
2022-06-30 13:57:35,,31.6
2022-06-30 14:57:35,,32.0
2022-06-30 15:57:35,,37.6
2022-06-30 16:57:35,,39.4
2022-06-30 17:57:35,,34.9
2022-06-30 18:57:35,,37.1
2022-06-30 19:57:35,,31.3
2022-06-30 20:57:35,,27.4
2022-06-30 21:57:35,,24.4
2022-06-30 22:57:35,,22.7
2022-06-30 23:57:35,,21.4
2022-07-01 00:57:35,,20.6
2022-07-01 01:57:35,,19.7
2022-07-01 02:57:35,,19.4
2022-07-01 03:57:35,,18.9
2022-07-01 04:57:35,,18.9
2022-07-01 05:57:35,,19.3
2022-07-01 06:57:35,,21.4
2022-07-01 07:57:35,,24.2
2022-07-01 08:57:35,,26.9
2022-07-01 09:57:35,,29.0
2022-07-01 10:57:35,,30.6
2022-07-01 11:57:35,,31.7
2022-07-01 12:57:35,,32.2
2022-07-01 13:57:35,,32.7
2022-07-01 14:57:35,,33.5
2022-07-01 15:57:35,,36.1
2022-07-01 16:57:35,,36.2
2022-07-01 17:57:35,,34.3
2022-07-01 18:57:35,,33.3
2022-07-01 19:57:35,,32.2
2022-07-01 20:57:35,,27.6
2022-07-01 21:57:35,,24.6
2022-07-01 22:57:35,,23.4
2022-07-01 23:57:35,,22.7
2022-07-02 00:57:35,,22.0
2022-07-02 01:57:35,,21.2
2022-07-02 02:57:35,,20.7
2022-07-02 03:57:35,,19.8
2022-07-02 04:57:35,,19.2
2022-07-02 05:57:35,,18.8
2022-07-02 06:57:35,,20.1
2022-07-02 07:57:35,,22.5
2022-07-02 08:57:35,,25.8
2022-07-02 09:57:35,,28.3
2022-07-02 10:57:35,,30.0
2022-07-02 11:57:35,,30.8
2022-07-02 12:57:35,,31.5
2022-07-02 13:57:35,,32.2
2022-07-02 14:57:35,,32.8
2022-07-02 15:57:35,,38.2
2022-07-02 16:57:35,,39.8
2022-07-02 17:57:35,,34.9
2022-07-02 18:57:35,,35.0
